Time,Type,X,Y,Z
23,gyro,-1.53,1.28,2.9
24,gyro,-0.14,1.29,-1.59
25,gyro,3.87,4.01,-6.61
26,gyro,2.13,16.19,15.72
27,gyro,17.16,-9.9,11.69
28,gyro,-5.82,-3.71,2.75
29,gyro,5.2,5.52,-0.21
30,gyro,-3.43,12.64,-2.63
31,gyro,-1.69,2.72,-1.69
32,gyro,-16.18,11.38,-9.86
33,gyro,-10.84,-10.63,-0.86
34,gyro,-3.23,6.13,5.77
35,gyro,-8.64,12.11,-0.36
36,gyro,-0.55,-8.08,5.31
37,gyro,19.56,-10.39,4.1
38,gyro,0.87,-13.75,2.91
39,gyro,-3.27,12.61,11.33
40,gyro,-2.09,-9.7,12.96
41,gyro,0.11,2.37,-2.96
42,gyro,3.75,13.11,-12.86
43,gyro,-1.03,-15.2,13.27
44,gyro,-10.6,12.24,2.47
45,gyro,-5.65,30.63,22.82
46,gyro,-9.86,6.42,-5.94
47,gyro,0.66,-9.0,-8.16
48,gyro,-1.2,-16.5,-5.43
49,gyro,-10.33,8.54,0.16
50,gyro,-9.67,-27.28,-17.97
51,gyro,-3.22,2.32,-9.8
52,gyro,-14.09,14.47,-14.28
53,gyro,-23.12,-0.17,-26.86
54,gyro,-0.44,0.44,-5.33
55,gyro,-13.59,17.48,6.7
56,gyro,18.36,-47.78,25.56
57,gyro,-5.1,-0.83,-3.94
58,gyro,-0.48,1.63,1.61
